"customer_id","gender","number_of_orders","gmv"
1,"Female",0,0
2,"Female",0,0
3,"Female",0,0
4,"Male",2,37.9534294291751
5,"Male",3,153.440488532387
6,"Female",5,258.835960369939
7,"Female",2,250.013343679601
8,"Male",0,0
9,"Female",3,6389.23108533884
10,"Female",0,0
11,"Male",2,185.807073191987
12,"Female",4,4783.67233466449
13,"Female",0,0
14,"Female",3,126.609809656918
15,"Female",2,2059.76374730265
16,"Male",4,51.2692307584633
17,"Female",3,976.684128304135
18,"Female",0,0
19,"Female",4,487.831392425526
20,"Male",2,793.424769694603
21,"Male",0,0
22,"Female",5,1577.50841619629
23,"Female",3,1512.07940941595
24,"Male",0,0
25,"Female",2,460.057746051778
26,"Female",5,2247.08838272635
27,"Female",0,0
28,"Female",4,3017.41817316909
29,"Female",0,0
30,"Female",0,0
31,"Male",0,0
32,"Male",0,0
33,"Female",0,0
34,"Female",4,1796.28530937771
35,"Female",2,15841.2386895323
36,"Female",3,6180.32166851576
37,"Female",4,428.362201014366
38,"Female",4,7873.33579889001
39,"Female",1,3770.21139289213
40,"Female",1,4532.76118294329
41,"Female",0,0
42,"Female",2,4040.83593035493
43,"Female",7,2089.9572547611
44,"Female",0,0
45,"Female",3,6936.4512219564
46,"Female",3,2519.06544342422
47,"Female",6,778.634213221997
48,"Female",3,120.02873205412
49,"Female",5,596.920368618302
50,"Male",0,0
51,"Female",3,246.503010549281
52,"Female",0,0
53,"Female",3,213.890283486236
54,"Female",0,0
55,"Female",5,52963.739611245
56,"Female",0,0
57,"Female",0,0
58,"Female",2,1111.09902317115
59,"Male",0,0
60,"Female",2,44141.5406024339
61,"Female",1,11333.3255690092
62,"Female",0,0
63,"Female",2,249.744739864298
64,"Female",0,0
65,"Male",3,482.802148865701
66,"Female",1,131216.941139642
67,"Male",3,129.961509879853
68,"Male",3,219.667080409462
69,"Female",5,86.5108983356999
70,"Female",0,0
71,"Female",5,2538.37455001998
72,"Female",0,0
73,"Female",3,240.636292848953
74,"Female",3,6133.49725271419
75,"Female",4,2083.40570557215
76,"Female",3,2542.29977122392
77,"Female",0,0
78,"Female",1,903.209545618911
79,"Female",2,819.29682254754
80,"Female",2,213.63105332037
81,"Female",0,0
82,"Female",4,279.909685102753
83,"Female",3,820.811834185399
84,"Female",2,721.500814134979
